Unnamed: 0,goods_id,goods_name,goods_price,goods_store,goods_commit
13,43432351135,阿玛塔 i7/GTX1060/32G游戏吃鸡组装电脑主机 台式组装机DIY 配置一(i7/16G/240)GTX1060 3G,3398.0,阿玛塔电脑旗舰店,2.1万+条评价
14,100009083138,联想(Lenovo)  Y9000X 英特尔酷睿i7 15.6英寸游戏笔记本电脑(i7-9750H 16G 1T 4K UHD)深空灰,10999.0,联想京东自营旗舰店,4.7万+条评价
15,100013273460,攀升 商睿2代 办公商用台式机电脑主机（十代i3-10100 8G 256GSSD 商务键鼠 3年上门）,2099.0,攀升京东自营官方旗舰店,4.6万+条评价
16,100014463742,宏碁(Acer)商祺SQX4270 540N 商用办公台式电脑整机 家用电脑（十代i3-10100 8G 1T wifi 三年上门）21.5英寸,2699.0,宏碁京东自营旗舰店,2.8万+条评价
17,5386278,攀升 P18 i5 10400F六核/升华硕GTX1650/华硕B460M/256G M.2/8G吃鸡游戏台式组装电脑主机/京东DIY游戏UPC,3699.0,IPASON攀升电脑京东自营旗舰店,5.2万+条评价
18,100013312560,惠普(HP)暗影精灵6 英特尔酷睿i7游戏台式电脑主机(十代i7 16G 256GB SSD+1TB RTX 2060S 8G独显),8299.0,惠普京东自营官方旗舰店,5.8万+条评价
19,68703765701,联想(Lenovo)小新15 2020八核锐龙版 15.6英寸大屏高性能轻薄手提笔记本电脑办公游戏本 高色域丨旗舰R7-4800U 16G 512G固态 IPS全高清屏 W10 浩瀚银,5699.0,联想电脑授权专卖店,4.9万+条评价
20,100012920622,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 单主机 配置一：i5升860k+游戏独显+8G+256G,1080.0,世纪之星电脑整机旗舰店,1.5万+条评价
21,71403507059,戴尔DELL成就5880英特尔酷睿i7商用办公台式机电脑整机(十代i7-10700 16G 256G 2T 2G独显 三年上门)23.8英寸,6999.0,戴尔京东自营官方旗舰店,2.3万+条评价
22,100006589419,狄派 英特尔酷睿十代i5/i7-10700八核台式电脑主机整机全套6G独显办公游戏电竞组装电脑 主机+24英寸曲面显示器 配置一:(i5-9400F+1050独显 三年保),3399.0,狄派电脑旗舰店,3900+条评价
23,4820515,Apple 2020新款 MacBook Air 13.3 Retina屏 十代i3 8G 256G SSD 银色 笔记本电脑 轻薄本 MWTK2CH/A,7599.0,Apple产品京东自营旗舰店,"去看二手
							3.8万+条评价"
24,100015752132,攀升 P21 升i5 10400F六核/GTX1660S/华硕B460M/256G M.2/高频8G吃鸡游戏电脑DIY组装台式主机京东UPC,4499.0,IPASON攀升电脑京东自营旗舰店,5.2万+条评价
25,68703765711,华硕Redolbook14 锐龙版 7nm六核高性能轻薄本 网课学生办公笔记本电脑(R5-4500U 16G 512G PCIe固态)高闪银,4199.0,华硕京东自营官方旗舰店,7900+条评价
26,100005182618,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 主机+27英寸曲面显示器 配置一：i5升860k+游戏独显+8G+256G,1899.0,世纪之星电脑整机旗舰店,1.5万+条评价
27,100009641228,"京品电脑	
AOC AIO大师734 23.8英寸高清办公台式一体机电脑 (AMD A10 8700P四核 8G 256GSSD 双频WiFi 键鼠 3年上门)",2499.0,AOC电脑京东自营旗舰店,11万+条评价
28,100004105123,惠普（HP）小欧 商务办公台式电脑主机（G4930 4G 256SSD WiFi蓝牙 Win10 注册五年上门）21.5英寸,2399.0,惠普京东自营官方旗舰店,5.2万+条评价
29,27674188725,惠普(HP)战66 商用办公台式电脑主机(九代i3-9100 8G 256GSSD Win10 Office WiFi蓝牙 注册五年上门)21.5英寸,2899.0,惠普京东自营官方旗舰店,1.7万+条评价
30,100015893852,E5 2680 V2升e5 2678v3十二核游戏模拟器多开/台式吃鸡游戏组装电脑主机DIY组装机 E5 2680 V2/4G显卡/升32G,3399.0,速佳宜组装电脑旗舰店,1.3万+条评价
31,100014463708,惠普(HP)战66 微边框商用一体台式机电脑23.8英寸(RYZEN锐龙R5-4500U 8G 256GSSD Win10 Office 三年上门),3099.0,惠普京东自营官方旗舰店,1.4万+条评价
32,100014025808,宏碁(Acer)商祺SQX4270 660N商用办公台式电脑整机 家用电脑 （十代i5-10400 8G 1T wifi 三年上门）21.5英寸,3299.0,宏碁京东自营旗舰店,2.8万+条评价
